frame,stage,old_id,new_id,reason,det_score,det_box,track_box,iou_cost,iou_overlap,fused_cost,cosine_sim,cosine_theta,cosine_margin,feat_norm,feat_mean_sim,n_registry,n_lost,n_enrolments,all_sims_top5
17,6_revive,4,4,revived,0.8315,"[862.0, 295.7, 925.4, 484.7]",,,,,0.9413,0.8,0.3988,1.0,0.9413,13,4,20,"[(4, 0.9413028955459595), (11, 0.5425032377243042), (1, 0.5256705284118652), (7, 0.5230035185813904), (13, 0.45759081840515137)]"
17,6_new,15,16,gate_failed sim=0.645<theta=0.800,0.8105,"[1636.2, 269.0, 1692.9, 474.2]",,,,,0.6451,0.8,0.0853,1.0,,13,4,9,"[(15, 0.6451061964035034), (8, 0.5598336458206177), (3, 0.48671019077301025), (2, 0.4806816577911377), (7, 0.46472108364105225)]"
18,6_revive,4,4,revived,0.8279,"[864.7, 299.9, 925.4, 490.7]",,,,,0.922,0.8,0.3663,1.0,0.922,13,3,22,"[(4, 0.9220174551010132), (7, 0.5556886196136475), (11, 0.5550777912139893), (1, 0.5337627530097961), (13, 0.47489622235298157)]"
19,3,12,12,re_activate_from_lost,0.7297,"[223.1, 360.1, 256.2, 463.4]","[223.4, 360.1, 255.9, 463.4]",0.3354,0.6646,0.515,,,,,,13,3,0,
19,6_revive,4,4,revived,0.8177,"[864.0, 302.4, 927.5, 499.5]",,,,,0.9422,0.8,0.3848,1.0,0.9422,13,3,24,"[(4, 0.9422025680541992), (1, 0.5574405789375305), (11, 0.5463192462921143), (7, 0.534173309803009), (13, 0.4630293846130371)]"
20,6_revive,4,4,revived,0.8646,"[865.4, 305.6, 930.2, 507.6]",,,,,0.941,0.8,0.3523,1.0,0.941,13,2,26,"[(4, 0.940994381904602), (1, 0.5887162685394287), (7, 0.5564305186271667), (11, 0.5464578866958618), (10, 0.48011350631713867)]"
21,6_revive,4,4,revived,0.8556,"[866.7, 308.8, 928.8, 507.9]",,,,,0.9315,0.8,0.3532,1.0,0.9315,13,2,28,"[(4, 0.9315378069877625), (1, 0.5783754587173462), (11, 0.5590997934341431), (7, 0.5522756576538086), (2, 0.47179996967315674)]"
22,6_revive,4,4,revived,0.8219,"[865.4, 312.5, 934.2, 504.2]",,,,,0.923,0.8,0.3724,1.0,0.923,13,2,30,"[(4, 0.9229934215545654), (1, 0.5505762100219727), (7, 0.5181409120559692), (11, 0.5155682563781738), (2, 0.4435170292854309)]"
23,6_revive,4,4,revived,0.8027,"[866.0, 316.9, 933.5, 508.6]",,,,,0.9373,0.8,0.3839,1.0,0.9373,14,3,32,"[(4, 0.9373006820678711), (1, 0.5533963441848755), (12, 0.5360363721847534), (11, 0.5220114588737488), (7, 0.515588641166687)]"
24,6_revive,4,4,revived,0.6799,"[868.1, 322.0, 935.6, 508.3]",,,,,0.8981,0.8,0.33,1.0,0.8981,14,3,34,"[(4, 0.8980852365493774), (1, 0.5680607557296753), (12, 0.5491098761558533), (11, 0.54721999168396), (7, 0.5353152751922607)]"
26,3,15,15,re_activate_from_lost,0.7673,"[1618.7, 301.7, 1702.4, 506.3]","[1628.4, 301.3, 1695.2, 506.1]",0.232,0.768,0.1298,,,,,,14,5,15,
26,3,13,13,re_activate_from_lost,0.6902,"[1003.7, 301.4, 1092.8, 541.0]","[1006.0, 301.4, 1088.4, 542.2]",0.1731,0.8269,0.0109,,,,,,14,5,15,
26,6_revive,4,4,revived,0.8338,"[864.7, 321.0, 926.8, 518.1]",,,,,0.9509,0.8,0.3452,1.0,0.9509,14,5,37,"[(4, 0.9509444236755371), (1, 0.6057900190353394), (12, 0.5548495650291443), (7, 0.5538467168807983), (11, 0.5484619140625)]"
27,6_revive,4,4,revived,0.7884,"[862.0, 320.3, 924.1, 514.0]",,,,,0.9481,0.8,0.3682,1.0,0.9481,14,3,39,"[(4, 0.9480544328689575), (1, 0.5798752307891846), (12, 0.553150475025177), (11, 0.5421695709228516), (7, 0.5290430784225464)]"
28,6_revive,4,4,revived,0.8129,"[857.9, 316.2, 922.7, 514.7]",,,,,0.9371,0.8,0.36,1.0,0.9371,14,4,41,"[(4, 0.9371496438980103), (1, 0.577187716960907), (12, 0.5433529615402222), (7, 0.5383385419845581), (11, 0.5250388979911804)]"
29,3,13,13,re_activate_from_lost,0.6844,"[994.3, 297.7, 1076.6, 532.6]","[995.5, 297.8, 1076.4, 533.5]",0.1064,0.8936,0.0165,,,,,,14,5,16,
29,6_new,12,17,gate_failed sim=0.748<theta=0.800,0.6932,"[25.5, 370.9, 58.9, 466.1]",,,,,0.7484,0.8,0.0322,1.0,,14,5,11,"[(12, 0.7483927607536316), (11, 0.716153085231781), (2, 0.6434618234634399), (15, 0.6028309464454651), (6, 0.5592445135116577)]"
29,6_revive,4,4,revived,0.829,"[855.2, 319.6, 921.4, 511.3]",,,,,0.9457,0.8,0.363,1.0,0.9457,14,5,43,"[(4, 0.9456639885902405), (1, 0.582647442817688), (12, 0.5461165904998779), (7, 0.5459675788879395), (11, 0.5334889888763428)]"
30,5,17,17,unconfirmed_update,0.845,"[17.1, 369.9, 52.6, 472.5]","[18.6, 370.1, 54.0, 471.2]",0.3941,0.6059,,,,,,,,4,,
31,6_revive,4,4,revived,0.7469,"[849.2, 316.9, 912.6, 506.6]",,,,,0.8997,0.7667,0.3269,1.0,0.8997,14,6,46,"[(4, 0.8997229337692261), (1, 0.5728669166564941), (12, 0.554449200630188), (7, 0.5446028709411621), (11, 0.5271623134613037)]"
32,6_revive,4,4,revived,0.671,"[842.4, 312.5, 904.5, 513.0]",,,,,0.9285,0.7667,0.3297,1.0,0.9285,14,6,48,"[(4, 0.9285169839859009), (1, 0.598773717880249), (7, 0.556635320186615), (12, 0.5384979248046875), (11, 0.5384504795074463)]"
33,6_revive,4,4,revived,0.8694,"[837.7, 311.9, 898.4, 510.3]",,,,,0.9393,0.7667,0.3458,1.0,0.9393,14,6,50,"[(4, 0.9393495321273804), (1, 0.5935553312301636), (7, 0.5416004061698914), (12, 0.5216671228408813), (11, 0.5165494680404663)]"
34,6_revive,4,4,revived,0.8529,"[827.6, 306.8, 895.1, 511.3]",,,,,0.955,0.7667,0.3645,1.0,0.955,14,6,52,"[(4, 0.9550496339797974), (1, 0.5905977487564087), (12, 0.5374904274940491), (11, 0.5230342149734497), (7, 0.5154767036437988)]"
35,6_new,12,18,gate_failed sim=0.610<theta=0.767,0.6935,"[43.3, 630.8, 72.4, 696.6]",,,,,0.6097,0.7667,0.0227,1.0,,14,6,17,"[(12, 0.6097081899642944), (11, 0.5870574116706848), (15, 0.5804586410522461), (2, 0.5679306983947754), (6, 0.5287036895751953)]"
36,5,18,18,unconfirmed_update,0.7455,"[37.8, 634.2, 63.8, 692.6]","[39.0, 633.5, 65.4, 693.4]",0.4641,0.5359,,,,,,,,7,,
38,6_revive,4,4,revived,0.8869,"[817.4, 299.0, 883.6, 500.9]",,,,,0.9244,0.7667,0.3338,1.0,0.9244,14,7,57,"[(4, 0.9243710041046143), (1, 0.5905425548553467), (11, 0.5705093145370483), (12, 0.5588831901550293), (7, 0.5529508590698242)]"
39,6_revive,4,4,revived,0.8699,"[818.8, 297.7, 884.9, 498.2]",,,,,0.9043,0.7667,0.3147,1.0,0.9043,14,8,59,"[(4, 0.9042834043502808), (1, 0.589569091796875), (11, 0.5545662045478821), (12, 0.5528455972671509), (7, 0.541354775428772)]"
40,3,13,13,re_activate_from_lost,0.5749,"[944.3, 271.0, 1045.6, 524.1]","[950.2, 271.3, 1039.6, 524.0]",0.2587,0.7413,0.0334,,,,,,14,8,17,
40,6_revive,4,4,revived,0.8697,"[820.8, 293.6, 887.0, 497.5]",,,,,0.9103,0.7667,0.2888,1.0,0.9103,14,8,61,"[(4, 0.9102978706359863), (1, 0.6215163469314575), (12, 0.5886962413787842), (11, 0.5829651951789856), (7, 0.5497450232505798)]"
41,6_revive,4,4,revived,0.8534,"[820.8, 295.1, 887.0, 497.5]",,,,,0.8751,0.7667,0.2525,1.0,0.8751,15,7,63,"[(4, 0.8750584125518799), (1, 0.6226056218147278), (12, 0.600495457649231), (11, 0.5947542190551758), (7, 0.5512262582778931)]"
42,3,13,13,re_activate_from_lost,0.7397,"[949.7, 275.4, 1041.5, 508.3]","[952.8, 274.5, 1038.5, 511.9]",0.1005,0.8995,0.0258,,,,,,15,8,18,
42,6_revive,15,15,revived,0.7858,"[1503.9, 296.0, 1557.9, 489.0]","[1578.1, 287.2, 1648.5, 489.3]",1.0,0.0,,0.7465,0.6937,0.0665,1.0,0.7465,15,8,19,"[(15, 0.7465387582778931), (10, 0.6800528168678284), (1, 0.6428503394126892), (2, 0.6092746257781982), (9, 0.6028943657875061)]"
42,6_revive,12,12,revived,0.7744,"[21.9, 350.7, 59.6, 441.8]",,,,,0.8319,0.7667,0.0883,1.0,0.8319,15,8,24,"[(12, 0.8318567276000977), (11, 0.7435222268104553), (18, 0.7326931357383728), (7, 0.647343635559082), (2, 0.645854115486145)]"
42,6_revive,4,4,revived,0.8906,"[820.8, 294.0, 885.6, 498.5]",,,,,0.9155,0.7667,0.3116,1.0,0.9155,15,8,65,"[(4, 0.915523111820221), (1, 0.6039409041404724), (12, 0.5865676403045654), (11, 0.5847771167755127), (7, 0.5501999855041504)]"
43,5,15,15,unconfirmed_update,0.5836,"[1501.2, 292.3, 1557.9, 486.0]","[1502.7, 293.0, 1556.9, 486.6]",0.0796,0.9204,,,,,,,,6,,
43,6_revive,4,4,revived,0.8811,"[818.1, 294.8, 887.0, 499.5]",,,,,0.8967,0.7667,0.2875,1.0,0.8967,15,6,67,"[(4, 0.8967137336730957), (1, 0.6092414855957031), (12, 0.587640106678009), (11, 0.5813144445419312), (2, 0.5446187257766724)]"
44,3,10,10,re_activate_from_lost,0.7696,"[994.3, 308.5, 1053.7, 498.2]","[991.7, 309.3, 1053.6, 497.1]",0.4685,0.5315,0.1337,,,,,,15,7,38,
44,6_revive,4,4,revived,0.8648,"[814.1, 297.0, 887.0, 505.6]",,,,,0.9316,0.7667,0.3368,1.0,0.9316,15,7,69,"[(4, 0.931610107421875), (1, 0.5948006510734558), (12, 0.5654261112213135), (11, 0.5534995794296265), (7, 0.5309135913848877)]"
45,3,13,13,re_activate_from_lost,0.6338,"[980.1, 309.8, 1053.0, 527.9]","[972.6, 303.5, 1052.1, 524.5]",0.4938,0.5062,0.0979,,,,,,15,9,20,
46,6_revive,4,4,revived,0.7045,"[820.8, 300.2, 899.1, 504.9]",,,,,0.8808,0.7667,0.2585,1.0,0.8808,15,9,72,"[(4, 0.8807820677757263), (1, 0.6222513914108276), (12, 0.5793510675430298), (2, 0.5598927140235901), (11, 0.5587818622589111)]"
47,6_revive,4,4,revived,0.8455,"[831.6, 295.7, 901.8, 505.6]",,,,,0.8865,0.7667,0.2838,1.0,0.8865,15,10,74,"[(4, 0.8864850997924805), (1, 0.6026552319526672), (12, 0.5939030051231384), (11, 0.5647588968276978), (7, 0.5495083332061768)]"
48,3,8,8,re_activate_from_lost,0.8235,"[942.3, 307.3, 999.0, 498.8]","[941.7, 307.4, 999.6, 499.5]",0.0736,0.9264,0.2371,,,,,,15,10,43,
48,3,13,13,re_activate_from_lost,0.7264,"[966.6, 275.1, 1058.4, 525.5]","[971.0, 279.5, 1059.8, 525.6]",0.4602,0.5398,0.024,,,,,,15,10,21,
48,6_revive,4,4,revived,0.9047,"[839.7, 295.1, 908.6, 507.6]",,,,,0.9124,0.7667,0.3071,1.0,0.9124,15,10,76,"[(4, 0.912419319152832), (1, 0.6052971482276917), (7, 0.5512077212333679), (12, 0.5354418158531189), (11, 0.5206131339073181)]"
49,6_revive,4,4,revived,0.8974,"[847.1, 295.8, 914.6, 506.3]",,,,,0.8746,0.7667,0.2773,1.0,0.8746,15,8,78,"[(4, 0.8746316432952881), (1, 0.597307026386261), (12, 0.5727453231811523), (7, 0.5294579267501831), (11, 0.529281497001648)]"
50,3,15,15,re_activate_from_lost,0.5877,"[1557.9, 272.5, 1606.5, 496.1]","[1549.0, 273.5, 1612.4, 495.0]",0.2652,0.7348,0.1267,,,,,,15,9,25,
50,6_revive,4,4,revived,0.9042,"[856.6, 295.5, 922.7, 505.6]",,,,,0.8414,0.7667,0.2249,1.0,0.8414,15,9,80,"[(4, 0.8413857221603394), (1, 0.616524338722229), (12, 0.5593068599700928), (7, 0.5244655013084412), (11, 0.5085533857345581)]"
51,6_revive,4,4,revived,0.9111,"[866.0, 294.0, 932.2, 507.3]",,,,,0.8376,0.7667,0.2089,1.0,0.8376,15,8,82,"[(4, 0.8376294374465942), (1, 0.6287198066711426), (12, 0.5746263265609741), (2, 0.5264132022857666), (11, 0.5225289463996887)]"
52,3,15,15,re_activate_from_lost,0.8434,"[1560.6, 269.0, 1622.7, 491.7]","[1561.8, 268.8, 1625.4, 491.5]",0.2668,0.7332,0.0918,,,,,,15,9,26,
52,6_new,15,19,gate_failed sim=0.609<theta=0.694,0.7235,"[1807.7, 267.6, 1853.6, 426.3]","[1561.8, 268.8, 1625.4, 491.5]",1.0,0.0,,0.6091,0.6937,0.0322,1.0,,15,9,27,"[(15, 0.6090794205665588), (10, 0.5768322348594666), (12, 0.5620929598808289), (11, 0.5573991537094116), (9, 0.5502023696899414)]"
52,6_revive,4,4,revived,0.914,"[871.4, 293.3, 936.2, 503.9]",,,,,0.7899,0.7667,0.1455,1.0,0.7899,15,9,84,"[(4, 0.7899456024169922), (1, 0.6444716453552246), (12, 0.5889460444450378), (2, 0.5535857677459717), (15, 0.5391620397567749)]"
53,5,19,19,unconfirmed_update,0.7854,"[1817.1, 269.3, 1863.0, 425.2]","[1815.5, 269.0, 1860.8, 425.5]",0.3508,0.6492,,,,,,,,8,,
53,6_revive,15,15,revived,0.7085,"[1541.7, 280.0, 1590.3, 486.7]",,,,,0.8494,0.6937,0.184,1.0,0.8494,15,8,28,"[(15, 0.8493709564208984), (8, 0.6653701066970825), (12, 0.6053420305252075), (1, 0.5926110744476318), (10, 0.5701812505722046)]"
53,6_revive,4,4,revived,0.9103,"[878.2, 295.7, 944.3, 504.9]",,,,,0.8022,0.7667,0.1721,1.0,0.8022,15,8,86,"[(4, 0.8022270202636719), (1, 0.6301223039627075), (12, 0.5856158137321472), (2, 0.5499565601348877), (11, 0.5459797382354736)]"
54,6_revive,4,4,revived,0.9158,"[884.2, 293.3, 949.1, 504.6]",,,,,0.7809,0.7667,0.1359,1.0,0.7809,15,7,88,"[(4, 0.7808618545532227), (1, 0.644983172416687), (12, 0.5563020706176758), (2, 0.5490186810493469), (10, 0.5422713756561279)]"
55,6_new,9,20,gate_failed sim=0.566<theta=0.729,0.7834,"[1844.1, 269.0, 1892.7, 418.5]","[1037.8, 303.1, 1106.1, 483.2]",1.0,0.0,,0.5661,0.7289,0.0064,1.0,,15,7,42,"[(9, 0.5660820603370667), (15, 0.5596439838409424), (10, 0.5569717884063721), (11, 0.5389824509620667), (2, 0.5373855233192444)]"
55,6_new,4,21,gate_failed sim=0.745<theta=0.767,0.9206,"[889.0, 294.6, 953.8, 505.9]",,,,,0.7451,0.7667,0.1104,1.0,,15,7,90,"[(4, 0.7451001405715942), (1, 0.6347000598907471), (12, 0.5871134996414185), (10, 0.5638812780380249), (3, 0.5635193586349487)]"
56,5,21,21,unconfirmed_update,0.9327,"[891.7, 295.0, 957.8, 506.3]","[891.7, 294.9, 956.5, 506.2]",0.1008,0.8992,,,,,,,,7,,
56,6_revive,11,11,revived,0.7767,"[252.8, 349.0, 304.8, 493.4]","[206.2, 349.1, 250.7, 461.2]",1.0,0.0,,0.7273,0.6602,0.0396,1.0,0.7273,15,7,25,"[(11, 0.7272801399230957), (13, 0.6877276301383972), (5, 0.6650297045707703), (7, 0.6416069865226746), (12, 0.6108073592185974)]"
57,3,19,19,re_activate_from_lost,0.6514,"[1849.5, 272.4, 1903.5, 429.6]","[1853.6, 272.7, 1899.7, 429.5]",0.1856,0.8144,0.4695,,,,,,15,7,2,
58,6_revive,11,11,revived,0.8217,"[255.2, 347.3, 312.2, 508.6]",,,,,0.8319,0.6602,0.1385,1.0,0.8319,15,6,26,"[(11, 0.8319242596626282), (12, 0.6934707164764404), (2, 0.6075208783149719), (10, 0.6000538468360901), (7, 0.5961399078369141)]"
59,5,11,11,unconfirmed_update,0.588,"[258.5, 345.9, 313.5, 503.2]","[257.6, 346.2, 313.5, 504.3]",0.118,0.882,,,,,,,,6,,
61,3,8,8,re_activate_from_lost,0.7961,"[996.3, 314.2, 1061.1, 518.1]","[998.7, 314.1, 1059.4, 516.0]",0.1423,0.8577,0.1235,,,,,,16,8,55,
61,3,19,19,re_activate_from_lost,0.8265,"[1868.4, 288.2, 1925.1, 446.9]","[1872.3, 288.0, 1920.5, 446.9]",0.1613,0.8387,0.1046,,,,,,16,8,5,
62,3,13,13,re_activate_from_lost,0.6492,"[1012.5, 294.5, 1082.7, 519.8]","[1011.0, 292.2, 1088.4, 521.9]",0.4512,0.5488,0.039,,,,,,17,6,32,
62,6_revive,11,11,revived,0.8223,"[256.7, 344.9, 312.7, 487.4]",,,,,0.8524,0.6602,0.1707,1.0,0.8524,17,6,28,"[(11, 0.8523649573326111), (12, 0.681675910949707), (2, 0.6572377681732178), (1, 0.6238330602645874), (10, 0.585567831993103)]"
63,5,11,11,unconfirmed_update,0.7954,"[250.4, 346.6, 304.8, 496.5]","[249.9, 346.3, 308.2, 494.6]",0.2763,0.7237,,,,,,,,6,,
63,6_new,6,22,gate_failed sim=0.729<theta=0.767,0.6744,"[298.4, 261.2, 444.8, 686.5]",,,,,0.7285,0.7667,0.0662,1.0,,17,6,62,"[(6, 0.7285218834877014), (12, 0.662293016910553), (2, 0.6417925953865051), (11, 0.6354739665985107), (15, 0.6262019276618958)]"
65,6_new,1,23,gate_failed sim=0.638<theta=0.767,0.6885,"[446.2, 319.4, 515.7, 517.0]",,,,,0.638,0.7667,0.0583,1.0,,17,6,26,"[(1, 0.6380051374435425), (12, 0.5796888470649719), (7, 0.5772071480751038), (2, 0.5752833485603333), (11, 0.5751647353172302)]"
66,5,23,23,unconfirmed_update,0.8745,"[444.5, 320.1, 520.1, 511.7]","[448.1, 320.0, 516.0, 512.7]",0.1064,0.8936,,,,,,,,6,,
67,3,12,12,re_activate_from_lost,0.6803,"[66.8, 350.3, 107.8, 473.2]","[66.0, 350.4, 108.8, 473.1]",0.6812,0.3188,0.7831,,,,,,17,5,26,
67,6_revive,12,12,revived,0.7894,"[104.1, 352.0, 147.0, 465.4]","[66.0, 350.4, 108.8, 473.1]",0.9444,0.0556,,0.8611,0.7667,0.1287,1.0,0.8611,17,5,27,"[(12, 0.8611454963684082), (11, 0.7324813604354858), (15, 0.6326324343681335), (18, 0.6322146654129028), (19, 0.5958752632141113)]"
69,6_revive,12,12,revived,0.7571,"[78.8, 347.6, 118.8, 459.0]",,,,,0.8653,0.7667,0.1676,1.0,0.8653,17,4,28,"[(12, 0.8652954697608948), (11, 0.6977362632751465), (15, 0.6222923994064331), (18, 0.6002476215362549), (2, 0.5861759185791016)]"
69,6_revive,12,12,revived,0.7016,"[38.2, 345.6, 85.5, 463.7]",,,,,0.8154,0.7667,0.0876,1.0,0.8154,17,4,29,"[(12, 0.815423846244812), (11, 0.727813184261322), (2, 0.6767048835754395), (18, 0.6490498781204224), (15, 0.6317313313484192)]"
71,6_revive,12,12,revived,0.8365,"[58.0, 341.7, 95.5, 456.0]",,,,,0.8735,0.7667,0.1905,1.0,0.8735,18,5,30,"[(12, 0.8735318183898926), (11, 0.6830132007598877), (15, 0.6449447870254517), (18, 0.6109809875488281), (10, 0.607856273651123)]"
71,6_revive,12,12,revived,0.8114,"[18.4, 343.4, 64.5, 460.7]",,,,,0.8517,0.7667,0.1426,1.0,0.8517,18,5,31,"[(12, 0.8516538143157959), (11, 0.7090287208557129), (18, 0.6752926111221313), (2, 0.6486307382583618), (15, 0.6468415856361389)]"
73,6_new,10,24,gate_failed sim=0.650<theta=0.663,0.7705,"[1875.2, 330.8, 1926.5, 471.8]","[946.2, 325.1, 1008.8, 514.6]",1.0,0.0,,0.6496,0.6627,0.0454,1.0,,18,5,39,"[(10, 0.6496421098709106), (2, 0.604198157787323), (11, 0.5776253342628479), (6, 0.5761414766311646), (18, 0.5747071504592896)]"
74,5,24,24,unconfirmed_update,0.7231,"[1877.9, 328.4, 1926.5, 470.1]","[1876.1, 328.9, 1927.6, 470.5]",0.0786,0.9214,,,,,,,,5,,
74,6_new,9,25,gate_failed sim=0.647<theta=0.729,0.7399,"[1433.7, 352.0, 1485.0, 528.2]","[917.1, 309.5, 985.5, 489.5]",1.0,0.0,,0.6469,0.7289,0.0016,1.0,,18,5,42,"[(9, 0.6469244360923767), (15, 0.6453497409820557), (10, 0.6330572366714478), (12, 0.6305720806121826), (3, 0.6151694059371948)]"
75,5,25,25,unconfirmed_update,0.5822,"[1422.9, 342.2, 1485.0, 525.2]","[1428.6, 344.2, 1481.5, 525.8]",0.2287,0.7713,,,,,,,,4,,
75,6_new,13,26,margin_failed margin=0.027<0.04,0.6802,"[966.6, 272.4, 1042.2, 529.5]",,,,,0.9407,0.7667,0.0273,1.0,,18,4,46,"[(13, 0.9407070875167847), (5, 0.9134278893470764), (8, 0.6810020208358765), (7, 0.6545888185501099), (11, 0.577484130859375)]"
75,6_revive,19,19,revived,0.8218,"[1798.2, 312.9, 1846.8, 467.4]",,,,,0.9422,0.7667,0.3038,1.0,0.9422,18,4,20,"[(19, 0.942206859588623), (10, 0.6383681893348694), (8, 0.6317484974861145), (15, 0.6145848035812378), (23, 0.5991557836532593)]"
76,3,10,10,re_activate_from_lost,0.9688,"[934.9, 277.1, 1052.3, 595.0]","[939.2, 277.2, 1047.8, 594.7]",0.6932,0.3068,0.7027,,,,,,18,3,39,
77,3,24,24,re_activate_from_lost,0.8024,"[1880.6, 323.5, 1931.9, 468.5]","[1879.8, 323.5, 1932.3, 468.3]",0.0681,0.9319,0.2522,,,,,,18,3,1,
79,6_revive,9,9,revived,0.8189,"[855.9, 304.6, 920.7, 502.2]",,,,,0.7733,0.7289,0.042,1.0,0.7733,18,2,42,"[(9, 0.7732748985290527), (10, 0.7312477231025696), (2, 0.6920121908187866), (8, 0.6543608903884888), (1, 0.651963472366333)]"
81,3,25,25,re_activate_from_lost,0.6861,"[1397.2, 290.6, 1494.5, 534.3]","[1410.6, 290.5, 1483.9, 531.7]",0.3324,0.6676,0.542,,,,,,18,5,4,
81,6_new,11,27,margin_failed margin=0.024<0.04,0.775,"[177.5, 318.4, 223.4, 454.3]",,,,,0.6862,0.6602,0.0236,1.0,,19,5,30,"[(11, 0.6862139701843262), (10, 0.6625774502754211), (8, 0.6120004653930664), (12, 0.6029964685440063), (7, 0.6020822525024414)]"
82,3,19,19,re_activate_from_lost,0.6321,"[1817.1, 300.4, 1873.8, 463.7]","[1818.0, 301.3, 1872.5, 463.7]",0.1078,0.8922,0.0936,,,,,,19,4,25,
82,5,27,27,unconfirmed_update,0.8427,"[175.7, 321.6, 232.0, 461.4]","[179.7, 321.0, 226.7, 459.9]",0.2411,0.7589,,,,,,,,4,,
83,6_new,13,28,margin_failed margin=0.004<0.04,0.7601,"[970.0, 263.9, 1052.3, 531.9]",,,,,0.9477,0.7667,0.0036,1.0,,19,3,54,"[(13, 0.9476969242095947), (5, 0.9441342353820801), (8, 0.6963638067245483), (7, 0.6899996995925903), (21, 0.6077038049697876)]"
84,5,28,28,unconfirmed_update,0.6825,"[973.4, 262.2, 1058.4, 535.6]","[973.1, 262.6, 1056.8, 534.9]",0.1239,0.8761,,,,,,,,3,,
85,6_revive,25,25,revived,0.7306,"[1435.1, 300.7, 1502.6, 526.2]",,,,,0.8256,0.7667,0.0931,1.0,0.8256,19,3,9,"[(25, 0.8255847692489624), (15, 0.7324481010437012), (12, 0.5779397487640381), (11, 0.5768193006515503), (2, 0.5521584749221802)]"
86,6_revive,19,19,revived,0.6879,"[1852.2, 298.2, 1908.9, 462.4]",,,,,0.862,0.7667,0.2016,1.0,0.862,19,3,30,"[(19, 0.8620201349258423), (10, 0.6603711843490601), (8, 0.64909827709198), (21, 0.6169581413269043), (15, 0.6103671789169312)]"
