frame,stage,old_id,new_id,reason,det_score,det_box,track_box,iou_cost,iou_overlap,fused_cost,cosine_sim,cosine_theta,cosine_margin,feat_norm,feat_mean_sim,n_registry,n_lost,n_enrolments,all_sims_top5
12,6_new,13,27,gate_failed sim=0.729<theta=0.800,0.8429,"[403.0, 531.2, 438.1, 625.7]","[790.6, 481.6, 807.7, 526.1]",1.0,0.0,,0.729,0.8,0.035,1.0,,15,6,5,"[(13, 0.7290490865707397), (19, 0.6940957307815552), (18, 0.6750060319900513), (17, 0.6725486516952515), (9, 0.6679983735084534)]"
13,3,1,1,re_activate_from_lost,0.8395,"[1395.9, 555.9, 1460.7, 698.6]","[1396.6, 556.0, 1459.4, 698.5]",0.0758,0.9242,0.0407,,,,,,15,9,9,
13,3,18,18,re_activate_from_lost,0.591,"[609.2, 514.7, 636.9, 588.9]","[609.9, 514.0, 639.5, 589.8]",0.4804,0.5196,0.0753,,,,,,15,9,6,
13,5,25,25,unconfirmed_update,0.7251,"[685.1, 509.3, 708.1, 562.6]","[686.2, 508.4, 707.2, 562.4]",0.1306,0.8694,,,,,,,,9,,
13,5,27,27,unconfirmed_update,0.8765,"[404.3, 524.8, 439.4, 627.4]","[402.9, 526.1, 440.3, 627.1]",0.1447,0.8553,,,,,,,,9,,
14,3,7,7,re_activate_from_lost,0.6493,"[1408.1, 498.8, 1427.0, 550.1]","[1406.9, 499.0, 1427.4, 550.3]",0.1639,0.8361,0.0637,,,,,,15,9,12,
14,3,16,16,re_activate_from_lost,0.7686,"[1385.1, 495.1, 1401.3, 537.6]","[1384.9, 495.0, 1401.5, 537.2]",0.0568,0.9432,0.0344,,,,,,15,9,9,
14,6_new,14,28,gate_failed sim=0.689<theta=0.800,0.6833,"[871.4, 489.7, 887.6, 535.6]",,,,,0.6888,0.8,0.0021,1.0,,15,9,10,"[(14, 0.6887857913970947), (19, 0.6866579651832581), (10, 0.679189145565033), (12, 0.6596713066101074), (18, 0.6272408962249756)]"
15,6_new,7,29,gate_failed sim=0.773<theta=0.800,0.7549,"[1497.2, 493.4, 1521.5, 558.2]",,,,,0.7734,0.8,0.0226,1.0,,15,8,14,"[(7, 0.7734229564666748), (5, 0.750796914100647), (4, 0.7227551937103271), (14, 0.7131984233856201), (16, 0.6944801211357117)]"
15,6_new,19,30,gate_failed sim=0.715<theta=0.800,0.7044,"[364.5, 526.5, 399.6, 628.4]","[591.0, 517.7, 621.9, 601.6]",1.0,0.0,,0.7148,0.8,0.0319,1.0,,15,8,5,"[(19, 0.7148459553718567), (14, 0.6829766631126404), (18, 0.6715755462646484), (13, 0.6474184989929199), (12, 0.6299271583557129)]"
16,3,13,13,re_activate_from_lost,0.6486,"[797.2, 475.5, 814.7, 520.1]","[797.2, 475.7, 814.4, 520.2]",0.6112,0.3888,0.7478,,,,,,15,9,5,
16,3,6,6,re_activate_from_lost,0.7331,"[1517.4, 501.2, 1541.7, 561.9]","[1518.7, 501.7, 1540.8, 562.1]",0.3547,0.6453,0.5269,,,,,,15,9,3,
16,3,19,19,re_activate_from_lost,0.6842,"[587.9, 518.4, 617.6, 596.0]","[588.5, 518.2, 617.4, 596.3]",0.1945,0.8055,0.0807,,,,,,15,9,5,
16,3,16,16,re_activate_from_lost,0.7442,"[1390.5, 494.4, 1406.7, 535.6]","[1390.1, 494.4, 1406.3, 535.8]",0.2391,0.7609,0.0411,,,,,,15,9,10,
16,5,30,30,unconfirmed_update,0.8461,"[354.0, 527.2, 399.9, 627.8]","[360.6, 527.0, 395.4, 627.9]",0.2431,0.7569,,,,,,,,9,,
16,6_new,19,31,gate_failed sim=0.714<theta=0.800,0.8783,"[1188.7, 489.7, 1206.2, 532.2]","[588.5, 518.2, 617.4, 596.3]",1.0,0.0,,0.7145,0.8,0.0223,1.0,,16,9,6,"[(19, 0.714458167552948), (10, 0.6922037601470947), (4, 0.6912884712219238), (12, 0.6895585060119629), (13, 0.6802996397018433)]"
17,5,31,31,unconfirmed_update,0.7787,"[1186.7, 486.3, 1204.2, 529.5]","[1186.9, 487.0, 1204.7, 530.1]",0.3023,0.6977,,,,,,,,6,,
17,6_new,5,32,gate_failed sim=0.787<theta=0.800,0.7196,"[1872.5, 539.3, 1899.5, 622.4]",,,,,0.7866,0.8,0.0231,1.0,,17,6,11,"[(5, 0.7865646481513977), (7, 0.7634763717651367), (4, 0.7620595693588257), (6, 0.7558958530426025), (14, 0.7012043595314026)]"
17,6_new,13,33,margin_failed margin=0.030<0.05,0.6956,"[780.3, 477.2, 795.2, 517.7]",,,,,0.814,0.8,0.0304,1.0,,17,6,7,"[(13, 0.8140361309051514), (17, 0.7836675047874451), (16, 0.685854971408844), (10, 0.6760493516921997), (14, 0.6683379411697388)]"
18,3,8,8,re_activate_from_lost,0.8192,"[1207.6, 491.7, 1221.1, 528.2]","[1207.6, 491.7, 1221.1, 528.2]",0.5447,0.4553,0.6271,,,,,,17,9,2,
18,3,16,16,re_activate_from_lost,0.739,"[1393.2, 496.8, 1409.4, 538.7]","[1393.1, 496.3, 1409.5, 538.0]",0.1257,0.8743,0.0385,,,,,,17,9,11,
18,5,33,33,unconfirmed_update,0.7663,"[782.3, 475.5, 798.5, 518.7]","[782.1, 475.9, 797.7, 518.5]",0.3357,0.6643,,,,,,,,9,,
18,6_revive,23,23,revived,0.7334,"[855.9, 511.3, 885.6, 591.0]",,,,,0.9089,0.7667,0.2114,1.0,0.9089,19,9,7,"[(23, 0.9088671207427979), (13, 0.6974198818206787), (19, 0.6895440220832825), (14, 0.6827027797698975), (2, 0.6532971858978271)]"
18,6_new,16,34,gate_failed sim=0.737<theta=0.800,0.7141,"[840.4, 483.3, 860.6, 533.9]","[1393.1, 496.3, 1409.5, 538.0]",1.0,0.0,,0.7369,0.8,0.0126,1.0,,19,9,12,"[(16, 0.7368851900100708), (25, 0.7242697477340698), (12, 0.7231786847114563), (19, 0.6897377967834473), (17, 0.683637261390686)]"
19,3,10,10,re_activate_from_lost,0.5997,"[1346.6, 490.1, 1360.1, 523.1]","[1347.1, 490.0, 1359.8, 523.2]",0.2927,0.7073,0.0542,,,,,,19,8,5,
19,5,34,34,unconfirmed_update,0.6886,"[839.0, 484.3, 857.9, 532.2]","[839.2, 484.1, 858.6, 532.6]",0.2283,0.7717,,,,,,,,8,,
19,6_revive,23,23,revived,0.8093,"[855.9, 510.3, 884.2, 592.7]",,,,,0.9109,0.7667,0.2096,1.0,0.9109,19,8,9,"[(23, 0.9109268188476562), (19, 0.7013380527496338), (14, 0.6909459829330444), (13, 0.6513879299163818), (18, 0.6473423838615417)]"
20,6_new,5,35,gate_failed sim=0.768<theta=0.800,0.814,"[1894.1, 549.1, 1926.5, 641.6]",,,,,0.768,0.8,0.0373,1.0,,20,9,14,"[(5, 0.7679613828659058), (7, 0.7306405305862427), (4, 0.7255958914756775), (6, 0.7236424088478088), (14, 0.7128863334655762)]"
20,6_revive,23,23,revived,0.8072,"[854.6, 513.0, 884.2, 594.7]",,,,,0.8964,0.7667,0.2179,1.0,0.8964,20,9,11,"[(23, 0.8963621258735657), (19, 0.678490400314331), (14, 0.6667606830596924), (13, 0.646161675453186), (12, 0.6328389048576355)]"
20,6_revive,25,25,revived,0.7655,"[332.8, 495.1, 357.4, 559.2]",,,,,0.8181,0.8,0.0677,1.0,0.8181,20,9,7,"[(25, 0.8180848360061646), (12, 0.7503847479820251), (17, 0.7215085625648499), (19, 0.6885800957679749), (13, 0.6875250935554504)]"
20,6_new,5,36,gate_failed sim=0.794<theta=0.800,0.7522,"[1548.5, 500.9, 1572.8, 571.7]",,,,,0.7937,0.8,0.0259,1.0,,20,9,14,"[(5, 0.7936866283416748), (16, 0.7677507996559143), (4, 0.7582541704177856), (7, 0.7508110404014587), (6, 0.7469336986541748)]"
21,6_new,25,37,margin_failed margin=0.022<0.05,0.8587,"[328.2, 493.8, 351.7, 555.9]",,,,,0.8287,0.8,0.0216,1.0,,21,10,9,"[(25, 0.8286668658256531), (12, 0.807077169418335), (19, 0.7523682117462158), (23, 0.7473211288452148), (14, 0.744426429271698)]"
21,6_revive,23,23,revived,0.8122,"[855.9, 510.3, 885.6, 593.3]",,,,,0.8957,0.7667,0.2454,1.0,0.8957,21,10,13,"[(23, 0.8956719636917114), (19, 0.6502679586410522), (30, 0.6424784660339355), (13, 0.6272045373916626), (14, 0.6254284381866455)]"
22,3,16,16,re_activate_from_lost,0.5855,"[1397.2, 494.4, 1413.5, 536.3]","[1397.2, 494.7, 1413.6, 536.5]",0.1434,0.8566,0.0441,,,,,,21,10,12,
22,5,37,37,unconfirmed_update,0.8579,"[322.0, 500.5, 344.6, 560.6]","[323.2, 499.2, 346.0, 559.6]",0.5254,0.4746,,,,,,,,10,,
22,6_new,7,38,margin_failed margin=0.000<0.05,0.8806,"[1516.1, 505.9, 1537.7, 564.6]","[1423.0, 496.3, 1442.3, 545.1]",1.0,0.0,,0.8274,0.8,0.0003,1.0,,21,10,15,"[(7, 0.8273922204971313), (6, 0.8271099328994751), (5, 0.7596149444580078), (4, 0.7093756198883057), (16, 0.7071880102157593)]"
22,6_revive,23,23,revived,0.8776,"[853.2, 513.0, 882.9, 595.4]",,,,,0.902,0.7667,0.1838,1.0,0.902,21,10,14,"[(23, 0.9020321369171143), (19, 0.7182613611221313), (14, 0.7059751152992249), (13, 0.6776255965232849), (25, 0.6685819625854492)]"
22,6_new,19,39,gate_failed sim=0.751<theta=0.800,0.777,"[164.7, 455.0, 190.4, 513.7]","[572.0, 528.7, 603.5, 611.8]",1.0,0.0,,0.7508,0.8,0.0059,1.0,,21,10,9,"[(19, 0.7508061528205872), (25, 0.7448841333389282), (16, 0.7407149076461792), (13, 0.7101997137069702), (8, 0.7100871801376343)]"
22,6_new,5,40,margin_failed margin=0.012<0.05,0.7436,"[1906.2, 554.2, 1935.9, 642.6]",,,,,0.801,0.8,0.0116,1.0,,21,10,16,"[(5, 0.8010084629058838), (4, 0.7894132733345032), (7, 0.7252628803253174), (6, 0.7234815359115601), (16, 0.696573793888092)]"
23,3,18,18,re_activate_from_lost,0.6041,"[557.9, 524.8, 589.6, 609.2]","[557.7, 524.6, 590.5, 609.0]",0.4446,0.5554,0.1954,,,,,,21,11,9,
23,3,23,23,re_activate_from_lost,0.6402,"[866.0, 490.7, 886.3, 544.0]","[866.9, 489.9, 885.3, 542.1]",0.4078,0.5922,0.0902,,,,,,21,11,15,
23,3,34,34,re_activate_from_lost,0.6357,"[837.7, 485.7, 857.9, 534.9]","[837.8, 485.4, 857.4, 534.4]",0.2392,0.7608,0.5164,,,,,,21,11,2,
23,5,38,38,unconfirmed_update,0.8409,"[1520.1, 509.6, 1541.7, 563.6]","[1520.0, 508.9, 1540.2, 563.8]",0.3627,0.6373,,,,,,,,11,,
23,5,23,23,unconfirmed_update,0.8853,"[853.2, 511.0, 884.2, 596.0]","[853.3, 511.4, 883.8, 595.9]",0.0738,0.9262,,,,,,,,11,,
23,5,39,39,unconfirmed_update,0.7045,"[162.2, 450.9, 189.2, 513.0]","[162.6, 451.7, 189.5, 513.1]",0.1941,0.8059,,,,,,,,11,,
23,6_new,27,41,gate_failed sim=0.723<theta=0.800,0.7974,"[349.3, 497.5, 377.0, 564.3]",,,,,0.7225,0.8,0.0073,1.0,,22,11,10,"[(27, 0.7225308418273926), (23, 0.7152003049850464), (19, 0.7119001746177673), (14, 0.7108633518218994), (18, 0.7009040713310242)]"
24,5,41,41,unconfirmed_update,0.806,"[344.9, 497.5, 373.3, 562.3]","[346.4, 497.5, 373.4, 562.7]",0.2723,0.7277,,,,,,,,9,,
25,6_revive,23,23,revived,0.7013,"[866.0, 492.4, 886.3, 547.8]",,,,,0.8104,0.7667,0.1017,1.0,0.8104,23,9,18,"[(23, 0.8104141354560852), (12, 0.7087258696556091), (10, 0.6986000537872314), (19, 0.6956680417060852), (14, 0.6935750246047974)]"
25,6_new,6,42,gate_failed sim=0.729<theta=0.800,0.7038,"[1576.8, 512.7, 1603.8, 587.6]","[1539.8, 511.5, 1562.9, 573.6]",1.0,0.0,,0.7294,0.8,0.0219,1.0,,23,9,6,"[(6, 0.729422926902771), (7, 0.7075117230415344), (14, 0.6619586944580078), (10, 0.6515143513679504), (5, 0.6208685040473938)]"
26,3,7,7,re_activate_from_lost,0.8238,"[1437.8, 510.6, 1459.4, 568.0]","[1437.1, 510.3, 1459.6, 567.4]",0.6773,0.3227,0.7341,,,,,,23,11,15,
26,6_revive,23,23,revived,0.7445,"[864.7, 492.4, 886.3, 550.5]",,,,,0.8072,0.7667,0.1116,1.0,0.8072,23,11,20,"[(23, 0.8072107434272766), (12, 0.6955615878105164), (19, 0.68503338098526), (14, 0.6750686764717102), (18, 0.6743190884590149)]"
27,3,13,13,re_activate_from_lost,0.7097,"[796.5, 482.6, 815.4, 530.5]","[796.6, 483.1, 815.3, 530.1]",0.1537,0.8463,0.0492,,,,,,23,12,15,
27,6_new,18,43,gate_failed sim=0.668<theta=0.672,0.9747,"[-11.6, 528.5, 203.0, 864.7]",,,,,0.6682,0.6723,0.016,1.0,,24,12,14,"[(18, 0.6682376265525818), (19, 0.6522842645645142), (2, 0.5973542332649231), (33, 0.5941364169120789), (14, 0.5843348503112793)]"
27,6_revive,23,23,revived,0.7626,"[865.4, 491.7, 887.0, 550.5]",,,,,0.8263,0.7667,0.1167,1.0,0.8263,24,12,22,"[(23, 0.8263411521911621), (12, 0.7096000909805298), (37, 0.7000647783279419), (19, 0.6992744207382202), (18, 0.6814265251159668)]"
28,3,17,17,re_activate_from_lost,0.6187,"[749.2, 480.9, 768.2, 524.8]","[749.2, 481.2, 768.1, 524.4]",0.2281,0.7719,0.0281,,,,,,24,11,21,
28,3,33,33,re_activate_from_lost,0.5886,"[774.2, 479.3, 791.8, 525.2]","[774.8, 479.3, 791.6, 524.8]",0.2777,0.7223,0.0567,,,,,,24,11,6,
28,3,10,10,re_activate_from_lost,0.6829,"[1362.2, 503.9, 1375.7, 542.4]","[1361.9, 503.8, 1375.7, 541.9]",0.167,0.833,0.0583,,,,,,24,11,12,
28,6_revive,23,23,revived,0.8076,"[864.7, 493.1, 886.3, 551.8]",,,,,0.8202,0.7667,0.0998,1.0,0.8202,26,11,24,"[(23, 0.8201526403427124), (12, 0.7203272581100464), (37, 0.7193070650100708), (19, 0.7093645334243774), (18, 0.7050712704658508)]"
29,6_revive,23,23,revived,0.7104,"[864.7, 489.7, 886.3, 549.8]",,,,,0.8145,0.7667,0.0513,1.0,0.8145,27,8,26,"[(23, 0.8145018815994263), (41, 0.7632385492324829), (37, 0.7397729158401489), (12, 0.7169156074523926), (19, 0.7136041522026062)]"
29,6_revive,10,10,revived,0.7077,"[1358.8, 503.9, 1375.0, 545.1]",,,,,0.8021,0.8,0.1068,1.0,0.8021,27,8,14,"[(10, 0.8021291494369507), (30, 0.6953346729278564), (23, 0.6933356523513794), (18, 0.6651767492294312), (4, 0.6511848568916321)]"
30,6_revive,41,41,revived,0.7468,"[152.9, 502.5, 178.0, 568.0]",,,,,0.803,0.75,0.0597,1.0,0.803,27,10,6,"[(41, 0.803024411201477), (37, 0.7433599233627319), (23, 0.7134764194488525), (18, 0.7100504636764526), (14, 0.7094811201095581)]"
30,6_revive,41,41,revived,0.8096,"[164.1, 501.9, 190.0, 568.7]",,,,,0.783,0.75,0.0363,1.0,0.783,27,10,7,"[(41, 0.7830410003662109), (8, 0.74676513671875), (37, 0.7436854243278503), (25, 0.7381922602653503), (6, 0.7232098579406738)]"
31,3,39,39,re_activate_from_lost,0.7239,"[135.3, 449.2, 163.8, 510.0]","[136.1, 449.4, 162.6, 509.6]",0.1523,0.8477,0.0363,,,,,,27,10,6,
31,6_new,18,44,margin_failed margin=0.026<0.03,0.7593,"[-40.5, 538.3, 138.5, 869.4]",,,,,0.6845,0.6723,0.0261,1.0,,27,10,18,"[(18, 0.6845171451568604), (19, 0.6583935022354126), (9, 0.6240777969360352), (14, 0.5827709436416626), (23, 0.5776755809783936)]"
31,6_revive,41,41,revived,0.8174,"[161.9, 497.1, 185.6, 564.0]",,,,,0.8379,0.75,0.0627,1.0,0.8379,27,10,9,"[(41, 0.8378934264183044), (37, 0.7751867771148682), (8, 0.7707568407058716), (14, 0.7527639865875244), (12, 0.7456413507461548)]"
31,6_revive,41,41,revived,0.8822,"[146.6, 497.5, 171.6, 563.6]",,,,,0.8601,0.75,0.0945,1.0,0.8601,27,10,10,"[(41, 0.8601294755935669), (37, 0.7656193971633911), (13, 0.7575260996818542), (14, 0.7498061060905457), (18, 0.7482187747955322)]"
32,6_revive,41,41,revived,0.8044,"[156.3, 504.2, 181.1, 568.4]",,,,,0.8051,0.75,0.0409,1.0,0.8051,27,10,12,"[(41, 0.8051154613494873), (12, 0.7642295360565186), (8, 0.7448163032531738), (37, 0.741087794303894), (7, 0.7199329137802124)]"
32,6_revive,41,41,revived,0.7966,"[142.3, 503.6, 166.2, 568.4]",,,,,0.7933,0.75,0.0511,1.0,0.7933,27,10,13,"[(41, 0.793292760848999), (37, 0.7421616315841675), (18, 0.7203119993209839), (12, 0.7202470898628235), (19, 0.7135888338088989)]"
33,3,6,6,re_activate_from_lost,0.8011,"[1568.7, 520.4, 1590.3, 577.8]","[1568.6, 520.5, 1590.1, 578.0]",0.6791,0.3209,0.7429,,,,,,27,11,6,
33,6_revive,41,41,revived,0.8443,"[135.6, 507.3, 160.7, 574.1]",,,,,0.7781,0.75,0.0928,1.0,0.7781,27,11,15,"[(41, 0.7780981063842773), (18, 0.6853355169296265), (19, 0.6802486777305603), (13, 0.6761641502380371), (37, 0.6721358895301819)]"
33,6_revive,41,41,revived,0.7924,"[149.3, 506.9, 176.9, 573.8]",,,,,0.8448,0.75,0.083,1.0,0.8448,27,11,16,"[(41, 0.8447608947753906), (12, 0.7618073225021362), (8, 0.7601779699325562), (37, 0.7574743032455444), (7, 0.736069917678833)]"
34,3,23,23,re_activate_from_lost,0.8266,"[851.2, 521.8, 880.9, 607.5]","[850.7, 521.8, 881.6, 607.7]",0.1073,0.8927,0.0674,,,,,,27,11,28,
34,6_revive,41,41,revived,0.826,"[127.4, 502.9, 155.1, 568.4]",,,,,0.894,0.75,0.103,1.0,0.894,27,11,18,"[(41, 0.893987774848938), (18, 0.7909651398658752), (37, 0.7810673713684082), (25, 0.7772501707077026), (19, 0.7718043327331543)]"
34,6_revive,41,41,revived,0.8007,"[141.8, 503.6, 174.0, 569.0]",,,,,0.7945,0.75,0.0411,1.0,0.7945,27,11,19,"[(41, 0.7945383787155151), (12, 0.7534483671188354), (37, 0.6917288303375244), (14, 0.6884917616844177), (8, 0.6884132623672485)]"
35,3,6,6,re_activate_from_lost,0.7821,"[1575.5, 518.7, 1597.1, 577.5]","[1575.3, 518.7, 1597.0, 577.2]",0.0687,0.9313,0.0919,,,,,,27,11,7,
35,6_new,19,45,gate_failed sim=0.724<theta=0.750,0.7422,"[7.5, 525.2, 54.3, 628.4]","[535.8, 546.4, 567.3, 629.5]",1.0,0.0,,0.7242,0.75,0.0173,1.0,,27,11,9,"[(19, 0.7242372035980225), (18, 0.7069559097290039), (41, 0.6658266186714172), (34, 0.6585390567779541), (37, 0.6274644136428833)]"
35,6_revive,41,41,revived,0.8404,"[119.2, 505.2, 153.1, 578.1]",,,,,0.8229,0.75,0.0718,1.0,0.8229,27,11,21,"[(41, 0.8229268193244934), (18, 0.7511376142501831), (12, 0.7465266585350037), (37, 0.7134284973144531), (14, 0.7117820382118225)]"
35,6_revive,41,41,revived,0.8089,"[134.9, 512.0, 168.0, 576.1]",,,,,0.8023,0.75,0.0614,1.0,0.8023,27,11,22,"[(41, 0.8023134469985962), (12, 0.7408784627914429), (14, 0.6855331659317017), (7, 0.664023220539093), (8, 0.6469523906707764)]"
35,6_new,41,46,margin_failed margin=0.027<0.03,0.8017,"[32.5, 505.9, 65.6, 593.7]",,,,,0.7554,0.75,0.0271,1.0,,27,11,23,"[(41, 0.7553604245185852), (25, 0.7283017635345459), (34, 0.7224129438400269), (39, 0.7134542465209961), (7, 0.6994867324829102)]"
36,3,23,23,re_activate_from_lost,0.8509,"[849.8, 523.8, 880.9, 608.9]","[850.0, 523.9, 880.7, 609.1]",0.0254,0.9746,0.0734,,,,,,27,10,29,
36,5,46,46,unconfirmed_update,0.8399,"[26.4, 498.5, 60.8, 586.2]","[28.1, 500.0, 61.2, 587.7]",0.3772,0.6228,,,,,,,,10,,
36,6_new,41,47,margin_failed margin=0.026<0.03,0.8607,"[125.6, 503.2, 164.7, 570.7]",,,,,0.7955,0.75,0.0259,1.0,,27,10,24,"[(41, 0.7955124974250793), (12, 0.76960289478302), (37, 0.6933603882789612), (14, 0.6891752481460571), (18, 0.6874997019767761)]"
36,6_revive,41,41,revived,0.8211,"[114.9, 504.2, 147.5, 571.1]",,,,,0.8372,0.75,0.0781,1.0,0.8372,27,10,24,"[(41, 0.8371860980987549), (12, 0.7590570449829102), (18, 0.7378568649291992), (37, 0.73039311170578), (14, 0.7039103507995605)]"
36,6_new,25,48,margin_failed margin=0.020<0.03,0.8118,"[5.0, 507.6, 35.1, 587.2]",,,,,0.8155,0.75,0.02,1.0,,27,10,24,"[(25, 0.8154690265655518), (41, 0.7954616546630859), (37, 0.7699659466743469), (13, 0.7562611103057861), (17, 0.7504092454910278)]"
37,3,8,8,re_activate_from_lost,0.8296,"[1213.7, 506.6, 1229.9, 549.1]","[1213.4, 506.6, 1229.5, 549.4]",0.4539,0.5461,0.0992,,,,,,27,11,16,
37,5,47,47,unconfirmed_update,0.8542,"[121.8, 508.3, 155.6, 576.5]","[120.3, 507.3, 159.7, 575.3]",0.3887,0.6113,,,,,,,,11,,
37,5,48,48,unconfirmed_update,0.8297,"[-6.7, 515.0, 27.4, 595.4]","[-2.9, 513.5, 27.5, 593.7]",0.5409,0.4591,,,,,,,,11,,
37,6_revive,41,41,revived,0.8082,"[106.0, 507.3, 139.7, 577.5]",,,,,0.8564,0.75,0.1156,1.0,0.8564,27,11,26,"[(41, 0.856418788433075), (18, 0.7408527731895447), (14, 0.7332191467285156), (12, 0.7290129661560059), (37, 0.7251585125923157)]"
38,3,5,5,re_activate_from_lost,0.7252,"[1865.7, 564.3, 1906.2, 657.5]","[1868.2, 564.1, 1903.4, 656.9]",0.1985,0.8015,0.05,,,,,,27,11,29,
